[Tick 1] Queue: 0 | ReturnStack: 0 | Dispatched: 2 | Returned: 3 | Active Terminal: null
[Tick 53] Queue: 0 | ReturnStack: 0 | Dispatched: 45 | Returned: 2 | Active Terminal: ıstanbul
[Tick 54] Queue: 0 | ReturnStack: 0 | Dispatched: 46 | Returned: 2 | Active Terminal: ıstanbul
[Tick 55] Queue: 0 | ReturnStack: 0 | Dispatched: 47 | Returned: 2 | Active Terminal: ankara
[Tick 56] Queue: 0 | ReturnStack: 0 | Dispatched: 48 | Returned: 2 | Active Terminal: ankara
[Tick 57] Queue: 0 | ReturnStack: 0 | Dispatched: 48 | Returned: 3 | Active Terminal: ankara
[Tick 58] Queue: 0 | ReturnStack: 1 | Dispatched: 48 | Returned: 4 | Active Terminal: ankara
[Tick 59] Queue: 0 | ReturnStack: 1 | Dispatched: 49 | Returned: 4 | Active Terminal: ankara
[Tick 60] Queue: 0 | ReturnStack: 0 | Dispatched: 50 | Returned: 4 | Active Terminal: ızmir
[Tick 61] Queue: 0 | ReturnStack: 0 | Dispatched: 51 | Returned: 4 | Active Terminal: ızmir
[Tick 62] Queue: 0 | ReturnStack: 0 | Dispatched: 52 | Returned: 4 | Active Terminal: ızmir
[Tick 63] Queue: 0 | ReturnStack: 0 | Dispatched: 53 | Returned: 4 | Active Terminal: ızmir
[Tick 64] Queue: 0 | ReturnStack: 0 | Dispatched: 54 | Returned: 4 | Active Terminal: ızmir
[Tick 65] Queue: 0 | ReturnStack: 0 | Dispatched: 55 | Returned: 4 | Active Terminal: bursa
[Tick 66] Queue: 0 | ReturnStack: 0 | Dispatched: 56 | Returned: 4 | Active Terminal: bursa
[Tick 67] Queue: 0 | ReturnStack: 0 | Dispatched: 57 | Returned: 4 | Active Terminal: bursa
[Tick 68] Queue: 0 | ReturnStack: 0 | Dispatched: 58 | Returned: 4 | Active Terminal: bursa
[Tick 69] Queue: 0 | ReturnStack: 0 | Dispatched: 59 | Returned: 4 | Active Terminal: bursa
[Tick 70] Queue: 0 | ReturnStack: 0 | Dispatched: 60 | Returned: 4 | Active Terminal: antalya
[Tick 71] Queue: 0 | ReturnStack: 0 | Dispatched: 61 | Returned: 4 | Active Terminal: antalya
[Tick 72] Queue: 0 | ReturnStack: 0 | Dispatched: 62 | Returned: 4 | Active Terminal: antalya
[Tick 73] Queue: 0 | ReturnStack: 0 | Dispatched: 63 | Returned: 4 | Active Terminal: antalya
[Tick 74] Queue: 0 | ReturnStack: 0 | Dispatched: 64 | Returned: 4 | Active Terminal: antalya
[Tick 75] Queue: 0 | ReturnStack: 0 | Dispatched: 65 | Returned: 4 | Active Terminal: ıstanbul
[Tick 76] Queue: 0 | ReturnStack: 0 | Dispatched: 66 | Returned: 4 | Active Terminal: ıstanbul
[Tick 77] Queue: 0 | ReturnStack: 0 | Dispatched: 67 | Returned: 4 | Active Terminal: ıstanbul
[Tick 78] Queue: 0 | ReturnStack: 0 | Dispatched: 68 | Returned: 4 | Active Terminal: ıstanbul
[Tick 79] Queue: 0 | ReturnStack: 0 | Dispatched: 69 | Returned: 4 | Active Terminal: ıstanbul
[Tick 80] Queue: 0 | ReturnStack: 0 | Dispatched: 70 | Returned: 4 | Active Terminal: ankara
[Tick 81] Queue: 0 | ReturnStack: 0 | Dispatched: 71 | Returned: 4 | Active Terminal: ankara
[Tick 82] Queue: 0 | ReturnStack: 0 | Dispatched: 72 | Returned: 4 | Active Terminal: ankara
[Tick 83] Queue: 0 | ReturnStack: 0 | Dispatched: 73 | Returned: 4 | Active Terminal: ankara
[Tick 84] Queue: 0 | ReturnStack: 0 | Dispatched: 74 | Returned: 4 | Active Terminal: ankara
[Tick 85] Queue: 0 | ReturnStack: 0 | Dispatched: 75 | Returned: 4 | Active Terminal: ızmir
[Tick 86] Queue: 0 | ReturnStack: 0 | Dispatched: 76 | Returned: 4 | Active Terminal: ızmir
[Tick 87] Queue: 0 | ReturnStack: 0 | Dispatched: 77 | Returned: 4 | Active Terminal: ızmir
[Tick 88] Queue: 0 | ReturnStack: 0 | Dispatched: 78 | Returned: 4 | Active Terminal: ızmir
[Tick 89] Queue: 0 | ReturnStack: 0 | Dispatched: 79 | Returned: 4 | Active Terminal: ızmir
[Tick 90] Queue: 0 | ReturnStack: 0 | Dispatched: 79 | Returned: 5 | Active Terminal: bursa
[Tick 91] Queue: 0 | ReturnStack: 0 | Dispatched: 80 | Returned: 5 | Active Terminal: bursa
[Tick 92] Queue: 0 | ReturnStack: 0 | Dispatched: 81 | Returned: 5 | Active Terminal: bursa
[Tick 93] Queue: 0 | ReturnStack: 0 | Dispatched: 82 | Returned: 5 | Active Terminal: bursa
[Tick 94] Queue: 0 | ReturnStack: 0 | Dispatched: 83 | Returned: 5 | Active Terminal: bursa
[Tick 95] Queue: 0 | ReturnStack: 0 | Dispatched: 84 | Returned: 5 | Active Terminal: antalya
[Tick 96] Queue: 0 | ReturnStack: 0 | Dispatched: 85 | Returned: 5 | Active Terminal: antalya
[Tick 97] Queue: 0 | ReturnStack: 0 | Dispatched: 86 | Returned: 5 | Active Terminal: antalya
[Tick 98] Queue: 0 | ReturnStack: 1 | Dispatched: 86 | Returned: 6 | Active Terminal: antalya
[Tick 99] Queue: 0 | ReturnStack: 0 | Dispatched: 87 | Returned: 6 | Active Terminal: antalya
[Tick 100] Queue: 0 | ReturnStack: 0 | Dispatched: 88 | Returned: 6 | Active Terminal: ıstanbul
[Tick 1] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 2] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 3] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 4] Queue: 0 | ReturnStack: 0 | Dispatched: 1 | Returned: 0 | Active Terminal: ıstanbul
[Tick 5] Queue: 0 | ReturnStack: 0 | Dispatched: 2 | Returned: 0 | Active Terminal: ankara
[Tick 6] Queue: 0 | ReturnStack: 0 | Dispatched: 3 | Returned: 0 | Active Terminal: ankara
[Tick 7] Queue: 0 | ReturnStack: 0 | Dispatched: 4 | Returned: 0 | Active Terminal: ankara
[Tick 8] Queue: 0 | ReturnStack: 1 | Dispatched: 4 | Returned: 1 | Active Terminal: ankara
[Tick 9] Queue: 0 | ReturnStack: 0 | Dispatched: 5 | Returned: 1 | Active Terminal: ankara
[Tick 10] Queue: 0 | ReturnStack: 0 | Dispatched: 6 | Returned: 1 | Active Terminal: ızmir
[Tick 11] Queue: 0 | ReturnStack: 1 | Dispatched: 6 | Returned: 2 | Active Terminal: ızmir
[Tick 12] Queue: 0 | ReturnStack: 0 | Dispatched: 7 | Returned: 2 | Active Terminal: ızmir
[Tick 13] Queue: 0 | ReturnStack: 0 | Dispatched: 8 | Returned: 2 | Active Terminal: ızmir
[Tick 14] Queue: 0 | ReturnStack: 0 | Dispatched: 9 | Returned: 2 | Active Terminal: ızmir
[Tick 15] Queue: 0 | ReturnStack: 0 | Dispatched: 10 | Returned: 2 | Active Terminal: bursa
[Tick 16] Queue: 0 | ReturnStack: 0 | Dispatched: 11 | Returned: 2 | Active Terminal: bursa
[Tick 17] Queue: 0 | ReturnStack: 0 | Dispatched: 12 | Returned: 2 | Active Terminal: bursa
[Tick 18] Queue: 0 | ReturnStack: 0 | Dispatched: 13 | Returned: 2 | Active Terminal: bursa
[Tick 19] Queue: 0 | ReturnStack: 0 | Dispatched: 14 | Returned: 2 | Active Terminal: bursa
[Tick 20] Queue: 0 | ReturnStack: 0 | Dispatched: 15 | Returned: 2 | Active Terminal: antalya
[Tick 21] Queue: 0 | ReturnStack: 0 | Dispatched: 16 | Returned: 2 | Active Terminal: antalya
[Tick 22] Queue: 0 | ReturnStack: 0 | Dispatched: 17 | Returned: 2 | Active Terminal: antalya
[Tick 23] Queue: 0 | ReturnStack: 0 | Dispatched: 18 | Returned: 2 | Active Terminal: antalya
[Tick 24] Queue: 0 | ReturnStack: 0 | Dispatched: 19 | Returned: 2 | Active Terminal: antalya
[Tick 25] Queue: 0 | ReturnStack: 0 | Dispatched: 20 | Returned: 2 | Active Terminal: ıstanbul
[Tick 26] Queue: 0 | ReturnStack: 0 | Dispatched: 21 | Returned: 2 | Active Terminal: ıstanbul
[Tick 27] Queue: 0 | ReturnStack: 0 | Dispatched: 22 | Returned: 2 | Active Terminal: ıstanbul
[Tick 28] Queue: 0 | ReturnStack: 0 | Dispatched: 23 | Returned: 2 | Active Terminal: ıstanbul
[Tick 29] Queue: 0 | ReturnStack: 0 | Dispatched: 24 | Returned: 2 | Active Terminal: ıstanbul
[Tick 30] Queue: 0 | ReturnStack: 0 | Dispatched: 25 | Returned: 2 | Active Terminal: ankara
[Tick 31] Queue: 0 | ReturnStack: 0 | Dispatched: 26 | Returned: 2 | Active Terminal: ankara
[Tick 32] Queue: 0 | ReturnStack: 0 | Dispatched: 27 | Returned: 2 | Active Terminal: ankara
[Tick 33] Queue: 0 | ReturnStack: 0 | Dispatched: 28 | Returned: 2 | Active Terminal: ankara
[Tick 34] Queue: 0 | ReturnStack: 0 | Dispatched: 29 | Returned: 2 | Active Terminal: ankara
[Tick 35] Queue: 0 | ReturnStack: 0 | Dispatched: 30 | Returned: 2 | Active Terminal: ızmir
[Tick 36] Queue: 0 | ReturnStack: 0 | Dispatched: 31 | Returned: 2 | Active Terminal: ızmir
[Tick 37] Queue: 0 | ReturnStack: 0 | Dispatched: 32 | Returned: 2 | Active Terminal: ızmir
[Tick 38] Queue: 0 | ReturnStack: 0 | Dispatched: 33 | Returned: 2 | Active Terminal: ızmir
[Tick 39] Queue: 0 | ReturnStack: 0 | Dispatched: 34 | Returned: 2 | Active Terminal: ızmir
[Tick 40] Queue: 0 | ReturnStack: 0 | Dispatched: 35 | Returned: 2 | Active Terminal: bursa
[Tick 41] Queue: 0 | ReturnStack: 0 | Dispatched: 36 | Returned: 2 | Active Terminal: bursa
[Tick 42] Queue: 0 | ReturnStack: 0 | Dispatched: 37 | Returned: 2 | Active Terminal: bursa
[Tick 43] Queue: 0 | ReturnStack: 0 | Dispatched: 38 | Returned: 2 | Active Terminal: bursa
[Tick 44] Queue: 0 | ReturnStack: 1 | Dispatched: 38 | Returned: 3 | Active Terminal: bursa
[Tick 45] Queue: 0 | ReturnStack: 0 | Dispatched: 39 | Returned: 3 | Active Terminal: antalya
[Tick 46] Queue: 0 | ReturnStack: 0 | Dispatched: 40 | Returned: 3 | Active Terminal: antalya
[Tick 47] Queue: 0 | ReturnStack: 0 | Dispatched: 41 | Returned: 3 | Active Terminal: antalya
[Tick 48] Queue: 0 | ReturnStack: 0 | Dispatched: 42 | Returned: 3 | Active Terminal: antalya
[Tick 49] Queue: 0 | ReturnStack: 0 | Dispatched: 43 | Returned: 3 | Active Terminal: antalya
[Tick 50] Queue: 0 | ReturnStack: 0 | Dispatched: 44 | Returned: 3 | Active Terminal: ıstanbul
[Tick 51] Queue: 0 | ReturnStack: 0 | Dispatched: 45 | Returned: 3 | Active Terminal: ıstanbul
[Tick 52] Queue: 0 | ReturnStack: 0 | Dispatched: 46 | Returned: 3 | Active Terminal: ıstanbul
[Tick 53] Queue: 0 | ReturnStack: 0 | Dispatched: 47 | Returned: 3 | Active Terminal: ıstanbul
[Tick 54] Queue: 0 | ReturnStack: 0 | Dispatched: 48 | Returned: 3 | Active Terminal: ıstanbul
[Tick 55] Queue: 0 | ReturnStack: 0 | Dispatched: 49 | Returned: 3 | Active Terminal: ankara
[Tick 56] Queue: 0 | ReturnStack: 1 | Dispatched: 49 | Returned: 4 | Active Terminal: ankara
[Tick 57] Queue: 0 | ReturnStack: 0 | Dispatched: 50 | Returned: 4 | Active Terminal: ankara
[Tick 58] Queue: 0 | ReturnStack: 0 | Dispatched: 51 | Returned: 4 | Active Terminal: ankara
[Tick 59] Queue: 0 | ReturnStack: 1 | Dispatched: 51 | Returned: 5 | Active Terminal: ankara
[Tick 60] Queue: 0 | ReturnStack: 0 | Dispatched: 52 | Returned: 5 | Active Terminal: ızmir
[Tick 61] Queue: 0 | ReturnStack: 0 | Dispatched: 53 | Returned: 5 | Active Terminal: ızmir
[Tick 62] Queue: 0 | ReturnStack: 0 | Dispatched: 54 | Returned: 5 | Active Terminal: ızmir
[Tick 63] Queue: 0 | ReturnStack: 0 | Dispatched: 55 | Returned: 5 | Active Terminal: ızmir
[Tick 64] Queue: 0 | ReturnStack: 1 | Dispatched: 55 | Returned: 6 | Active Terminal: ızmir
[Tick 65] Queue: 0 | ReturnStack: 1 | Dispatched: 56 | Returned: 6 | Active Terminal: bursa
[Tick 66] Queue: 0 | ReturnStack: 0 | Dispatched: 57 | Returned: 6 | Active Terminal: bursa
[Tick 67] Queue: 0 | ReturnStack: 0 | Dispatched: 58 | Returned: 6 | Active Terminal: bursa
[Tick 68] Queue: 0 | ReturnStack: 0 | Dispatched: 59 | Returned: 6 | Active Terminal: bursa
[Tick 69] Queue: 0 | ReturnStack: 0 | Dispatched: 60 | Returned: 6 | Active Terminal: bursa
[Tick 70] Queue: 0 | ReturnStack: 0 | Dispatched: 61 | Returned: 6 | Active Terminal: antalya
[Tick 71] Queue: 0 | ReturnStack: 0 | Dispatched: 62 | Returned: 6 | Active Terminal: antalya
[Tick 72] Queue: 0 | ReturnStack: 0 | Dispatched: 63 | Returned: 6 | Active Terminal: antalya
[Tick 73] Queue: 0 | ReturnStack: 0 | Dispatched: 64 | Returned: 6 | Active Terminal: antalya
[Tick 74] Queue: 0 | ReturnStack: 0 | Dispatched: 65 | Returned: 6 | Active Terminal: antalya
[Tick 75] Queue: 0 | ReturnStack: 0 | Dispatched: 66 | Returned: 6 | Active Terminal: ıstanbul
[Tick 76] Queue: 0 | ReturnStack: 0 | Dispatched: 67 | Returned: 6 | Active Terminal: ıstanbul
[Tick 77] Queue: 0 | ReturnStack: 1 | Dispatched: 67 | Returned: 7 | Active Terminal: ıstanbul
[Tick 78] Queue: 0 | ReturnStack: 0 | Dispatched: 68 | Returned: 7 | Active Terminal: ıstanbul
[Tick 79] Queue: 0 | ReturnStack: 0 | Dispatched: 69 | Returned: 7 | Active Terminal: ıstanbul
[Tick 80] Queue: 0 | ReturnStack: 0 | Dispatched: 70 | Returned: 7 | Active Terminal: ankara
[Tick 81] Queue: 0 | ReturnStack: 0 | Dispatched: 71 | Returned: 7 | Active Terminal: ankara
[Tick 82] Queue: 0 | ReturnStack: 0 | Dispatched: 72 | Returned: 7 | Active Terminal: ankara
[Tick 83] Queue: 0 | ReturnStack: 0 | Dispatched: 73 | Returned: 7 | Active Terminal: ankara
[Tick 84] Queue: 0 | ReturnStack: 0 | Dispatched: 74 | Returned: 7 | Active Terminal: ankara
[Tick 85] Queue: 0 | ReturnStack: 0 | Dispatched: 75 | Returned: 7 | Active Terminal: ızmir
[Tick 86] Queue: 0 | ReturnStack: 0 | Dispatched: 76 | Returned: 7 | Active Terminal: ızmir
[Tick 87] Queue: 0 | ReturnStack: 0 | Dispatched: 77 | Returned: 7 | Active Terminal: ızmir
[Tick 88] Queue: 0 | ReturnStack: 0 | Dispatched: 78 | Returned: 7 | Active Terminal: ızmir
[Tick 89] Queue: 0 | ReturnStack: 0 | Dispatched: 79 | Returned: 7 | Active Terminal: ızmir
[Tick 90] Queue: 0 | ReturnStack: 0 | Dispatched: 80 | Returned: 7 | Active Terminal: bursa
[Tick 91] Queue: 0 | ReturnStack: 0 | Dispatched: 81 | Returned: 7 | Active Terminal: bursa
[Tick 92] Queue: 0 | ReturnStack: 0 | Dispatched: 82 | Returned: 7 | Active Terminal: bursa
[Tick 93] Queue: 0 | ReturnStack: 0 | Dispatched: 83 | Returned: 7 | Active Terminal: bursa
[Tick 94] Queue: 0 | ReturnStack: 0 | Dispatched: 84 | Returned: 7 | Active Terminal: bursa
[Tick 95] Queue: 0 | ReturnStack: 0 | Dispatched: 85 | Returned: 7 | Active Terminal: antalya
[Tick 96] Queue: 0 | ReturnStack: 0 | Dispatched: 86 | Returned: 7 | Active Terminal: antalya
[Tick 97] Queue: 0 | ReturnStack: 0 | Dispatched: 87 | Returned: 7 | Active Terminal: antalya
[Tick 98] Queue: 0 | ReturnStack: 0 | Dispatched: 88 | Returned: 7 | Active Terminal: antalya
[Tick 99] Queue: 0 | ReturnStack: 0 | Dispatched: 89 | Returned: 7 | Active Terminal: antalya
[Tick 100] Queue: 0 | ReturnStack: 0 | Dispatched: 90 | Returned: 7 | Active Terminal: ıstanbul
[Tick 1] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 2] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 3] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 4] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ıstanbul
[Tick 5] Queue: 0 | ReturnStack: 0 | Dispatched: 0 | Returned: 0 | Active Terminal: ankara
[Tick 6] Queue: 0 | ReturnStack: 0 | Dispatched: 1 | Returned: 0 | Active Terminal: ankara
[Tick 7] Queue: 0 | ReturnStack: 0 | Dispatched: 2 | Returned: 0 | Active Terminal: ankara
[Tick 8] Queue: 0 | ReturnStack: 0 | Dispatched: 3 | Returned: 0 | Active Terminal: ankara
[Tick 9] Queue: 0 | ReturnStack: 0 | Dispatched: 3 | Returned: 0 | Active Terminal: ankara
[Tick 10] Queue: 0 | ReturnStack: 0 | Dispatched: 4 | Returned: 0 | Active Terminal: ızmir
[Tick 11] Queue: 0 | ReturnStack: 0 | Dispatched: 5 | Returned: 0 | Active Terminal: ızmir
[Tick 12] Queue: 0 | ReturnStack: 0 | Dispatched: 6 | Returned: 0 | Active Terminal: ızmir
[Tick 13] Queue: 0 | ReturnStack: 0 | Dispatched: 7 | Returned: 0 | Active Terminal: ızmir
[Tick 14] Queue: 0 | ReturnStack: 0 | Dispatched: 8 | Returned: 0 | Active Terminal: ızmir
[Tick 15] Queue: 0 | ReturnStack: 0 | Dispatched: 9 | Returned: 0 | Active Terminal: bursa
[Tick 16] Queue: 0 | ReturnStack: 0 | Dispatched: 10 | Returned: 0 | Active Terminal: bursa
[Tick 17] Queue: 0 | ReturnStack: 0 | Dispatched: 11 | Returned: 0 | Active Terminal: bursa
[Tick 18] Queue: 0 | ReturnStack: 0 | Dispatched: 12 | Returned: 0 | Active Terminal: bursa
[Tick 19] Queue: 0 | ReturnStack: 0 | Dispatched: 13 | Returned: 0 | Active Terminal: bursa
[Tick 20] Queue: 0 | ReturnStack: 0 | Dispatched: 14 | Returned: 0 | Active Terminal: antalya
[Tick 21] Queue: 0 | ReturnStack: 0 | Dispatched: 15 | Returned: 0 | Active Terminal: antalya
[Tick 22] Queue: 0 | ReturnStack: 0 | Dispatched: 16 | Returned: 0 | Active Terminal: antalya
[Tick 23] Queue: 0 | ReturnStack: 0 | Dispatched: 17 | Returned: 0 | Active Terminal: antalya
[Tick 24] Queue: 0 | ReturnStack: 0 | Dispatched: 18 | Returned: 0 | Active Terminal: antalya
[Tick 25] Queue: 0 | ReturnStack: 0 | Dispatched: 19 | Returned: 0 | Active Terminal: ıstanbul
[Tick 26] Queue: 0 | ReturnStack: 0 | Dispatched: 20 | Returned: 0 | Active Terminal: ıstanbul
[Tick 27] Queue: 0 | ReturnStack: 0 | Dispatched: 21 | Returned: 0 | Active Terminal: ıstanbul
[Tick 28] Queue: 0 | ReturnStack: 0 | Dispatched: 22 | Returned: 0 | Active Terminal: ıstanbul
[Tick 29] Queue: 0 | ReturnStack: 1 | Dispatched: 22 | Returned: 1 | Active Terminal: ıstanbul
[Tick 30] Queue: 0 | ReturnStack: 0 | Dispatched: 23 | Returned: 1 | Active Terminal: ankara
[Tick 31] Queue: 0 | ReturnStack: 1 | Dispatched: 23 | Returned: 2 | Active Terminal: ankara
[Tick 32] Queue: 0 | ReturnStack: 2 | Dispatched: 23 | Returned: 3 | Active Terminal: ankara
[Tick 33] Queue: 0 | ReturnStack: 0 | Dispatched: 24 | Returned: 3 | Active Terminal: ankara
[Tick 34] Queue: 0 | ReturnStack: 0 | Dispatched: 25 | Returned: 3 | Active Terminal: ankara
[Tick 35] Queue: 0 | ReturnStack: 0 | Dispatched: 26 | Returned: 3 | Active Terminal: ızmir
[Tick 36] Queue: 0 | ReturnStack: 0 | Dispatched: 27 | Returned: 3 | Active Terminal: ızmir
[Tick 37] Queue: 0 | ReturnStack: 0 | Dispatched: 28 | Returned: 3 | Active Terminal: ızmir
[Tick 38] Queue: 0 | ReturnStack: 0 | Dispatched: 29 | Returned: 3 | Active Terminal: ızmir
[Tick 39] Queue: 0 | ReturnStack: 0 | Dispatched: 30 | Returned: 3 | Active Terminal: ızmir
[Tick 40] Queue: 0 | ReturnStack: 0 | Dispatched: 31 | Returned: 3 | Active Terminal: bursa
[Tick 41] Queue: 0 | ReturnStack: 0 | Dispatched: 32 | Returned: 3 | Active Terminal: bursa
[Tick 42] Queue: 0 | ReturnStack: 0 | Dispatched: 33 | Returned: 3 | Active Terminal: bursa
[Tick 43] Queue: 0 | ReturnStack: 1 | Dispatched: 33 | Returned: 4 | Active Terminal: bursa
[Tick 44] Queue: 0 | ReturnStack: 1 | Dispatched: 34 | Returned: 4 | Active Terminal: bursa
[Tick 45] Queue: 0 | ReturnStack: 0 | Dispatched: 35 | Returned: 4 | Active Terminal: antalya
[Tick 46] Queue: 0 | ReturnStack: 0 | Dispatched: 36 | Returned: 4 | Active Terminal: antalya
[Tick 47] Queue: 0 | ReturnStack: 1 | Dispatched: 36 | Returned: 5 | Active Terminal: antalya
[Tick 48] Queue: 0 | ReturnStack: 0 | Dispatched: 36 | Returned: 6 | Active Terminal: antalya
[Tick 49] Queue: 0 | ReturnStack: 0 | Dispatched: 37 | Returned: 6 | Active Terminal: antalya
[Tick 50] Queue: 0 | ReturnStack: 0 | Dispatched: 38 | Returned: 6 | Active Terminal: ıstanbul
[Tick 51] Queue: 0 | ReturnStack: 0 | Dispatched: 39 | Returned: 6 | Active Terminal: ıstanbul
[Tick 52] Queue: 0 | ReturnStack: 0 | Dispatched: 40 | Returned: 6 | Active Terminal: ıstanbul
[Tick 53] Queue: 0 | ReturnStack: 0 | Dispatched: 41 | Returned: 6 | Active Terminal: ıstanbul
[Tick 54] Queue: 0 | ReturnStack: 0 | Dispatched: 42 | Returned: 6 | Active Terminal: ıstanbul
[Tick 55] Queue: 0 | ReturnStack: 0 | Dispatched: 43 | Returned: 6 | Active Terminal: ankara
[Tick 56] Queue: 0 | ReturnStack: 1 | Dispatched: 43 | Returned: 7 | Active Terminal: ankara
[Tick 57] Queue: 0 | ReturnStack: 0 | Dispatched: 44 | Returned: 7 | Active Terminal: ankara
[Tick 58] Queue: 0 | ReturnStack: 0 | Dispatched: 45 | Returned: 7 | Active Terminal: ankara
[Tick 59] Queue: 0 | ReturnStack: 0 | Dispatched: 46 | Returned: 7 | Active Terminal: ankara
[Tick 60] Queue: 0 | ReturnStack: 0 | Dispatched: 47 | Returned: 7 | Active Terminal: ızmir
[Tick 61] Queue: 0 | ReturnStack: 0 | Dispatched: 48 | Returned: 7 | Active Terminal: ızmir
[Tick 62] Queue: 0 | ReturnStack: 0 | Dispatched: 49 | Returned: 7 | Active Terminal: ızmir
[Tick 63] Queue: 0 | ReturnStack: 0 | Dispatched: 50 | Returned: 7 | Active Terminal: ızmir
[Tick 64] Queue: 0 | ReturnStack: 0 | Dispatched: 51 | Returned: 7 | Active Terminal: ızmir
[Tick 65] Queue: 0 | ReturnStack: 0 | Dispatched: 52 | Returned: 7 | Active Terminal: bursa
[Tick 66] Queue: 0 | ReturnStack: 0 | Dispatched: 53 | Returned: 7 | Active Terminal: bursa
[Tick 67] Queue: 0 | ReturnStack: 0 | Dispatched: 54 | Returned: 7 | Active Terminal: bursa
[Tick 68] Queue: 0 | ReturnStack: 0 | Dispatched: 55 | Returned: 7 | Active Terminal: bursa
[Tick 69] Queue: 0 | ReturnStack: 0 | Dispatched: 56 | Returned: 7 | Active Terminal: bursa
[Tick 70] Queue: 0 | ReturnStack: 0 | Dispatched: 57 | Returned: 7 | Active Terminal: antalya
[Tick 71] Queue: 0 | ReturnStack: 0 | Dispatched: 58 | Returned: 7 | Active Terminal: antalya
[Tick 72] Queue: 0 | ReturnStack: 0 | Dispatched: 59 | Returned: 7 | Active Terminal: antalya
[Tick 73] Queue: 0 | ReturnStack: 0 | Dispatched: 60 | Returned: 7 | Active Terminal: antalya
[Tick 74] Queue: 0 | ReturnStack: 0 | Dispatched: 61 | Returned: 7 | Active Terminal: antalya
[Tick 75] Queue: 0 | ReturnStack: 0 | Dispatched: 62 | Returned: 7 | Active Terminal: ıstanbul
[Tick 76] Queue: 0 | ReturnStack: 0 | Dispatched: 63 | Returned: 7 | Active Terminal: ıstanbul
[Tick 77] Queue: 0 | ReturnStack: 0 | Dispatched: 64 | Returned: 7 | Active Terminal: ıstanbul
[Tick 78] Queue: 0 | ReturnStack: 0 | Dispatched: 65 | Returned: 7 | Active Terminal: ıstanbul
[Tick 79] Queue: 0 | ReturnStack: 0 | Dispatched: 66 | Returned: 7 | Active Terminal: ıstanbul
[Tick 80] Queue: 0 | ReturnStack: 0 | Dispatched: 67 | Returned: 7 | Active Terminal: ankara
[Tick 81] Queue: 0 | ReturnStack: 0 | Dispatched: 68 | Returned: 7 | Active Terminal: ankara
[Tick 82] Queue: 0 | ReturnStack: 0 | Dispatched: 69 | Returned: 7 | Active Terminal: ankara
[Tick 83] Queue: 0 | ReturnStack: 0 | Dispatched: 70 | Returned: 7 | Active Terminal: ankara
[Tick 84] Queue: 0 | ReturnStack: 0 | Dispatched: 71 | Returned: 7 | Active Terminal: ankara
[Tick 85] Queue: 0 | ReturnStack: 0 | Dispatched: 72 | Returned: 7 | Active Terminal: ızmir
